## Source: https://phishradar.org/emaildomains.txt
## This file contains phishing email domains.
##
## If you just need the email domains / emails only, get it here:
## https://phishradar.org/emaildomainsfeed.txt
## https://phishradar.org/emailsendersfeed.txt
##
## NOTE:
## 1~ Data more than 3 months old will be automatically removed from this list.
## 2~ For manual removal from this list, email: remove@phishradar.org
## 3~ Visit our Twitter at https://x.com/phishradar
##
sender_domain,date_added,reason
osolohouseware.com,2024-10-04,Fake Doc Signature Request
110235714372950.com,2024-10-04,Fake DocuSign Request
rumbosur.com.ar,2024-10-03,Fake DocuSign Request
normecgroup.com,2024-10-03,Fake $PYUSD Rewards distribution
324526220179940.com,2024-10-02,Fake Docusign Request
mg.herbata.co,2024-10-02,Fake Lido Staked Rewards
din.or.jp,2024-10-02,Fake New Message Alert
cmai-groupe.com,2024-10-02,Fake $PYUSD Rewards distribution
orange.tn,2024-10-01,Fake USPS Postal Service Verify Address
paperclip.com,2024-10-01,Fake Financing Offers
jwfclimited.com,2024-10-01,Fake Financing Offers
gotoshoji.jp,2024-10-01,Fake DocuSign Request
sanki-d.co.jp,2024-10-01,Fake DocuSign Request
nakano-seiyaku.co.jp,2024-10-01,Fake DocuSign Request
jsdi.or.jp,2024-10-01,Fake DocuSign Request
yak2017.org,2024-10-01,Fake Technical Support Theme
mts-stim.com,2024-10-01,Fake New Message Alert
ugcoam.com,2024-10-01,Fake New Message Alert
danterobere.com,2024-09-30,Fake Document Review Request
myastrologycoach.com,2024-09-30,Scam: BTC balance claim
epaka.pl,2024-09-30,Fake ePaka Parcel Info Theme
news.sbm.mc,2024-09-29,Fake Metamask Wallet Blocked
as2116.net,2024-09-29,Fake Moongate Aidrop
alchemer.com,2024-09-29,Fake Coinbase Important Action Required
pa32rt300t.jmsend.com,2024-09-28,Fake Metamask Wallet has been suspended notice
homewatchcaregivers.com,2024-09-28,Fake voicemail notice
anaba.co.jp,2024-09-28,Fake DocuSign request
aterawater.com,2024-09-27,Fake Miss-call Alert
zubbysteel.co.uk,2024-09-27,Fake Purchase Order: Excel Attachment Phishing
theriskdoctor.com.au,2024-09-27,Fake DocuSign Request
trust-wallet.com,2024-09-27,Fake Wallet Suspend notice
mg.mintroom.ca,2024-09-26,Fake Opensea NFT Offer
nailmaster.co,2024-09-26,Fake Opensea NFT Offer
holaguard.com,2024-09-26,Fake Opensea NFT Offer
adoption.ca,2024-09-26,Fake Document Signature Request
pa32rt300t.jmsend.com,2024-09-26,Fake Metamask Wallet Suspended Notification
bepdarbhanga.org,2024-09-26,Fake Document Signature Request
joao.moura@frionline.com.br,2024-09-25,Email Reply Phishing: Investment Scam
svk.jp,2024-09-24,Fake Review of your recent deposit of $ARC
logicalat.com,2024-09-24,Fake eDoc Signature Request
cevojodeagua.zurtt.mx,2024-09-24,Fake Tax Refund in Italian Language
empoweredcampus.org,2024-09-24,Fake Opensea NFT offer
sky-home.co.jp,2024-09-24,Fake eDoc Signature Request
retrieve.co.jp,2024-09-24,Fake eDoc Signature Request
leadership.com.py,2024-09-24,Fake DocuSign Signature Request
graywealthadvisors.com,2024-09-23,Fake Voice message
wsk.ac.th,2024-09-23,Fake Crypto Scam
864.twintravel.ca,2024-09-23,Fake Crypto Scam
testrail.io,2024-09-23,Fake BTC Extortion
leads305.com,2024-09-23,Fake $LDO Crypto Scam
coop.custmta.com,2024-09-23,Fake Metamask Wallet Blocked
superdmx.com,2024-09-23,Fake eDoc Signature Request
orange.tn,2024-09-22,Fake $SAND Airdrop
epanicbutton.com,2024-09-22,Fake Opensea NFT offer
offplanprojects.center,2024-09-22,Unspecified Phishing: Compromised Wordpress Site
omnicomprensivocsangelo.edu.it,2024-09-22,Fake Crypto Scam
ap-x.net,2024-09-22,Fake $LDO Crypto Scam
riflon.com.br,2024-09-22,Fake Voice message
diatec.co.jp,2024-09-22,Fake DocuSign Signature Request
nmrsw2.ac.th,2024-09-22,Fake Crypto Scam
aarsupport.com,2024-09-20,Fake Metamask Suspended Wallet
vehiclehealth.org,2024-09-20,Fake Metamask Suspended Wallet
areaone3588.com,2024-09-20,Fake Metamask Verify Wallet
eco-graphite.com,2024-09-20,Fake eDoc Signature Request
tfsti.com,2024-09-20,Fake Voice Message Notification
inboxely.com,2024-09-20,Fake Business Opportunity Email
oncodrugsdeveteampfizer.com,2024-09-20,Fake "Pfizer" Recruiter Email
sharevision.ca,2024-09-19,Fake Celcius Balance Withdrawal
mg.wingreensfarms.com,2024-09-19,Fake OpenSea NFT Offer: Compromised Gemini Databreach
inboxely.com,2024-09-19,Fake Compensation Email Phishing: Compromised Indonesian Govt Email Server
tetratechnologies.net,2024-09-18,Fake $SQT Airdrop
clearikon.com,2024-09-18,Fake Pending Voice Message
pgcpschools.org,2024-09-18,Fake Pending Voice Message
bivium.co.za,2024-09-18,Fake eDoc Signature Request
felioto.com,2024-09-18,Fake DocuSign Signature Request
ds-manager.com,2024-09-18,Fake DHL Invoice
58475334598.com,2024-09-17,Fake eDoc Signature Request
sbproduction.com.my,2024-09-17,Fake eDoc Signature Request
worldcob.org,2024-09-17,Crytpo Phishing: Compromised Wordpress Site
apanait.com,2024-09-17,Crytpo Phishing: Compromised Wordpress Site
probit.cl,2024-09-17,Fake eDoc Signature Request
amakin.com.sa,2024-09-17,Fake Confidential Business Offer
lfd.cl,2024-09-17,Fake eDoc Signature Request
inemfp.edu.co,2024-09-16,Fake Bill Receipt Payment Request
thewellnessshop.in,2024-09-16,Fake eDoc Signature Request
salesmatemail.com,2024-09-16,Fake BTC Extortion
lazyarchi.com,2024-09-16,Crytpo Phishing: Compromised Wordpress Site
backyardbbqstore.com,2024-09-16,Document FYI Clickbait Email PDF Attachment
infinitypharma.com.br,2024-09-16,Fake PDF Document Nota Fiscal
mg.jjmediauk.co.uk,2024-09-16,Fake OpenSea NFT Offer
contact.happnmail.com,2024-09-16,Fake Metamask Wallet Disabled Email
