## Source: https://phishradar.org/phishingurls.txt
## This file contains phishing link (URLs).
##
## If you just need the phishing URLs / Domains only, get it here:
## https://phishradar.org/phishingurlsfeed.txt
## https://phishradar.org/phishingdomainsfeed.txt
##
## NOTE:
## 1~ For manual removal from this list, email: remove@phishradar.org
## 2~ Visit our Twitter at https://x.com/phishradar
##
sender_url,date_added,reason
https://pub-4034f60c306f466f8f497e12ca4f8395.r2.dev/index.html,2025-02-19,https://x.com/phishradar/status/1892222858799292890
https://trustwallet.proxydns.com/start.php,2025-02-19,https://x.com/phishradar/status/1892063745893073250
https://rn91hhwduqdaikqnzun8.lumpnk.ru/Key1?Key2,2025-02-14,https://x.com/phishradar/status/1890445003450650770
https://eu.docusign.net/Signing/EmailStart.aspx?a=56278d86-a3ff-421e-9ef3-c5f6939fdaeb&etti=110&acct=cb9dfd4b-ec9d-46dd-91b2-1f6be4c86508&er=c47c7143-092f-4be4-a332-1eee607f4c1f,2025-01-25,https://x.com/phishradar/status/1883184335546970510
https://distribution.svnfutures.com/mobile.php,2025-01-23,https://x.com/phishradar/status/1883184335546970510
http://www.acutenet.co.jp/cgi-bin/lcount/lcounter.cgi?link=REDIRECTURL,2025-01-25,https://x.com/phishradar/status/1883184335546970510
https://oie339kow.kic-il.co/0f/33jkjww3223/bm9yZXBseUBkZWNvbnN0cnVjdG9ycy5jb20=,2025-01-25,https://x.com/phishradar/status/1883184335546970510
http://url1861.anygift.jp/ls/click?upn=u001.REDACTED,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://click.pstmrk.it/3s/click.pstmrk.it/3s/click.pstmrk.it%REDACTED,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://click.pstmrk.it/3s/click.pstmrk.it/3s/click.pstmrk.it%REDACTED,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://go.sparkpostmail1.com/f/a/REDACTED,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://notice-recovery.s3.eu-north-1.amazonaws.com/recovery.html,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://tinyurl.com/stellarblog,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://u49951401.ct.sendgrid.net/ls/click?upn=u001.REDACTED,2025-01-23,https://x.com/phishradar/status/1882120786930241564
https://cloudflare-cftc-us76.pages.dev,2024-11-14,Fake CFTC-US Notification [mail@cftc.us.org]
https://s3.timeweb.cloud/fb44dbf9-new-york-times-news-donald-trump/iranian-agents/Donald-Trump-Assasination.htm#first.last@domain.com,2024-11-14,Fake NYT Breaking News: Donald Trump Assasinated [newyork-times@nycmail.com]
http://www.ledger-safety.com/verification,2024-11-14,Fake Ledger asking Verify the Security of Your Recovery Phrase [alerts@ledger-safety.com]
https://cloudflare-sec-us51.pages.dev/?utm_source=mail,2024-10-31,Fake "SEC US" Regulatory Guidelines [mail@investor.us.org]
https://site-techonlogy.com/,2024-10-31,Malware: Fake Employee Termination Notice [hr@ctl-gl.com]
https://s3.timeweb.cloud/d2247a8d-ceb09c71-57ee-4411-a590-e4de8ca5cf86/Contract/contract.htm#email@domain.com,2024-10-31,Fake Transfer Instruction [rossena.yahya@agrobank.com.my]
https://srcdao.s3.amazonaws.com/index.html,2024-10-31,Fake "Claim Your SCR Tokens Now" [noreply@src.io]
https://scroll-portal.io,2024-10-31,Fake "Claim Your SCR Tokens Now" [noreply@src.io]
https://gah.inersolie.com/Nb5jSss/,2024-10-23,Fake DocuSign Request [info@cabsmart.com.au; info@r-energy.com.au]
https://qtg.tvd.mybluehost.me/gg/nbg/default.php,2024-10-23,Fake i-bank (Greece) Security Update Notification [formsimplicity@formsimplicity.com]
https://coinbase-wallet-setup.exprimiendoideas.com.mx/Process.php,2024-10-23,Fake Coinbase Wallet Setup Instruction [info@peasedoors.com]
https://littlegoa.com/41#user@domain.com,2024-10-23,Fake Incoming Message Notification [victoriaw@mdarchitects.com]
http://hub-res.selvas.com/market/fatalraid/hub.html?download_url=https://emnop.shop,2024-10-22,Fake DocuSign Request [michele-sch@gmx.com]
https://emnop.shop,2024-10-22,Fake DocuSign Request [michele-sch@gmx.com]
https://REDACTED.ngologis42t.com,2024-10-22,Fake DocuSign Request [ohtsuka@hdinc.jp]
https://mkkmandd.com.ng/s,2024-10-22,Fake Netflix Unsuccessful Payment Notice [info@ursa.sa; info@kobeacademy.ac.sz]
https://scrollio.s3.amazonaws.com/index.html,2024-10-22,Fake Claim SCR (or Optimism) Tokens [noreply@scrol.io; info@yogafit.com]
https://scroll-distribution.io/invite.php,2024-10-22,Fake Claim SCR (or Optimism) Tokens [noreply@scrol.io; info@yogafit.com]
https://github.com/user-attachments/assets/ae5d2093-0b4f-47f2-987d-1dfcfcbb8d2d,2024-10-22,Fake Optimism Tokens Airdrop [info@sqn.cr]
https://opt-distribution.io/invite.php,2024-10-22,Fake Optimism Tokens Airdrop [info@sqn.cr]
